,id_oke,wojewodztwo,powiat,powiat_kod,liczba_zdajacych,wynik_avg,wynik_std,wynik_mediana,wynik_modalna,klasa_avg,wynagrodzenie_median
281,6,Zachodniopomorskie,kamieński,3207000,195,62.2,30.098913857224403,65.0,96,15,6117.1
283,6,Zachodniopomorskie,koszaliński,3209000,296,58.33108108108108,31.667057764811563,58.0,100,17,6097.45
284,6,Zachodniopomorskie,kołobrzeski,3208000,367,70.06539509536785,28.710830705080266,84.0,100,18,6046.58
285,6,Zachodniopomorskie,myśliborski,3210000,361,64.22991689750693,29.24506809748158,71.0,95,17,6089.65
286,6,Zachodniopomorskie,policki,3211000,470,70.68297872340426,28.741613534629803,82.0,100,19,7272.22
287,6,Zachodniopomorskie,pyrzycki,3212000,173,52.40462427745665,28.784597308280564,45.0,27,15,6181.51
288,6,Zachodniopomorskie,stargardzki,3214000,634,61.22555205047318,29.797337178490938,65.0,98,20,6549.68
290,6,Zachodniopomorskie,szczecinecki,3215000,340,59.53235294117647,30.362546787198934,62.0,95,17,6109.1
291,6,Zachodniopomorskie,sławieński,3213000,245,61.2530612244898,30.69509767440315,67.0,96,16,5874.17
292,6,Zachodniopomorskie,wałecki,3217000,210,56.81428571428572,31.67662177927026,55.5,96,18,6173.88
293,6,Zachodniopomorskie,łobeski,3218000,149,50.87248322147651,29.865984464969497,44.0,20,18,5893.36
294,6,Zachodniopomorskie,świdwiński,3216000,249,49.69879518072289,29.61590867660794,38.0,18,19,5940.13
296,7,Mazowieckie,białobrzeski,1401000,168,54.44642857142857,30.291590638911227,51.0,100,16,5902.01
297,7,Mazowieckie,ciechanowski,1402000,354,56.932203389830505,30.62947755259749,55.5,96,16,6389.22
298,7,Mazowieckie,garwoliński,1403000,769,61.074122236671,29.272336231377164,64.0,100,17,6324.94
299,7,Mazowieckie,gostyniński,1404000,210,54.22857142857143,29.733020650562946,49.0,98,17,6234.62
300,7,Mazowieckie,grodziski,1405000,773,76.0025873221216,26.895850943276436,89.0,100,21,7559.67
301,7,Mazowieckie,grójecki,1406000,608,62.20723684210526,30.153060423301554,69.0,98,16,6483.79
302,7,Mazowieckie,kozienicki,1407000,214,58.36448598130841,29.178116407202047,56.0,22,16,6638.22
303,7,Mazowieckie,legionowski,1408000,727,74.99724896836314,27.08537611026108,87.0,98,21,7803.32
304,7,Mazowieckie,lipski,1409000,181,52.80110497237569,29.72459589277845,45.0,25,16,5957.05
305,7,Mazowieckie,makowski,1411000,180,52.233333333333334,30.246964953345135,44.0,25,17,5803.82
306,7,Mazowieckie,miński,1412000,1194,67.19932998324958,29.05384822538154,76.0,98,20,6904.71
307,7,Mazowieckie,mławski,1413000,353,57.47308781869688,29.789535319381816,55.0,96,16,5748.29
308,7,Mazowieckie,nowodworski,1414000,436,66.20871559633028,30.40053743491978,78.0,98,18,6848.38
309,7,Mazowieckie,ostrowski,1416000,387,57.01808785529716,29.594104857868807,55.0,95,16,6117.3
